ID;obs_date;default;split
1574;2015-12-31;0;train
1574;2016-12-31;0;train
1574;2017-12-31;0;train
1574;2018-12-31;0;train
1574;2019-12-31;0;train
2897;2015-12-31;0;train
2897;2016-12-31;0;train
2897;2017-12-31;0;train
2897;2018-12-31;0;train
2897;2019-12-31;0;train
2897;2020-12-31;0;train
5389;2017-12-31;0;test
5389;2018-12-31;0;test
5389;2019-12-31;0;test
5389;2020-12-31;0;test
6689;2015-12-31;0;validation
6689;2016-12-31;1;validation
8188;2017-12-31;0;train
8188;2018-12-31;0;train
8188;2019-12-31;0;train
8188;2020-12-31;0;train
9353;2015-03-31;0;train
9353;2016-03-31;1;train
9459;2015-12-31;1;train
11896;2018-12-31;0;validation
11896;2019-12-31;1;validation
13085;2017-12-31;0;train
13085;2018-12-31;0;train
13085;2019-12-31;0;train
13085;2020-12-31;0;train
16213;2015-12-31;0;train
16213;2016-12-31;0;train
16614;2017-12-31;0;train
16614;2018-12-31;0;train
17864;2015-01-31;0;train
17864;2016-01-31;0;train
19068;2015-12-31;0;validation
20290;2015-12-31;0;train
20531;2015-12-31;0;test
20531;2017-12-31;0;test
20531;2018-12-31;0;test
20531;2019-12-31;0;test
20531;2020-12-31;0;test
20531;2021-12-31;0;test
21521;2018-12-31;0;train
21521;2019-12-31;0;train
21521;2020-12-31;0;train
21521;2021-12-31;0;train
23191;2015-12-31;0;train
23191;2016-12-31;0;train
23191;2017-12-31;0;train
23704;2018-12-31;0;train
23704;2019-12-31;1;train
24255;2020-06-30;0;validation
24255;2021-06-30;0;validation
24336;2016-12-31;0;train
24336;2017-12-31;0;train
31645;2015-12-31;0;train
33731;2015-12-31;0;train
33731;2016-12-31;0;train
36839;2016-12-31;0;train
36839;2017-12-31;0;train
38987;2016-12-31;0;validation
38987;2017-12-31;0;validation
39604;2015-12-31;0;train
42617;2015-12-31;0;train
42617;2016-12-31;0;train
42617;2017-12-31;0;train
42617;2018-12-31;0;train
43262;2018-12-31;0;train
43262;2019-12-31;0;train
43602;2017-12-31;0;train
43602;2018-12-31;0;train
43602;2019-12-31;0;train
43602;2020-12-31;0;train
50265;2017-12-31;1;train
50279;2017-12-31;0;test
50279;2018-12-31;0;test
53285;2015-12-31;0;train
53285;2016-12-31;0;train
55130;2015-12-31;0;train
55130;2016-12-31;0;train
57175;2015-12-31;0;train
57175;2016-12-31;0;train
57175;2017-12-31;0;train
57175;2018-12-31;0;train
57175;2019-12-31;0;train
57175;2020-12-31;0;train
57817;2017-12-31;0;validation
57817;2018-12-31;0;validation
57817;2019-12-31;0;validation
57817;2020-12-31;0;validation
63883;2015-12-31;0;train
63883;2016-12-31;0;train
63883;2017-12-31;0;train
63883;2018-12-31;0;train
63883;2019-12-31;0;train
64447;2015-12-31;0;train
64447;2016-12-31;0;train
64447;2017-12-31;0;train
64447;2018-12-31;0;train
64447;2019-12-31;0;train
64447;2020-12-31;0;train
64671;2020-12-31;0;train
64671;2021-09-30;0;train
64671;2021-12-31;0;train
69093;2020-12-31;0;test
70593;2018-12-31;0;validation
70593;2019-12-31;0;validation
70593;2020-12-31;0;validation
72249;2015-12-31;0;train
72249;2016-12-31;0;train
75418;2019-12-31;0;train
75418;2020-12-31;0;train
75418;2021-12-31;0;train
77027;2015-03-31;1;train
77057;2019-12-31;0;test
77057;2020-12-31;0;test
77311;2015-12-31;0;train
77311;2016-12-31;0;train
77311;2017-12-31;0;train
77311;2018-12-31;0;train
77311;2019-12-31;0;train
81116;2015-12-31;0;validation
81116;2016-12-31;0;validation
81116;2017-12-31;0;validation
81116;2018-12-31;0;validation
81116;2019-12-31;0;validation
81116;2020-12-31;0;validation
81116;2021-12-31;0;validation
82788;2017-12-31;0;validation
82788;2018-12-31;0;validation
82788;2019-12-31;0;validation
82788;2020-12-31;0;validation
82788;2021-12-31;0;validation
84653;2018-12-31;0;train
84653;2019-12-31;0;train
84653;2020-12-31;0;train
84653;2021-12-31;0;train
89543;2015-12-31;0;train
89543;2016-12-31;0;train
89543;2017-12-31;0;train
93216;2015-12-31;0;test
93216;2016-12-31;0;test
94923;2018-12-31;0;train
94923;2019-12-31;0;train
94923;2020-12-31;0;train
97101;2016-12-31;0;test
97101;2017-12-31;0;test
100529;2020-12-31;0;train
100529;2021-12-31;0;train
100927;2016-12-31;0;train
100927;2017-12-31;0;train
104233;2020-12-31;0;validation
104233;2021-12-31;0;validation
105169;2017-12-31;0;train
105169;2018-12-31;0;train
107990;2015-12-31;0;train
107990;2016-12-31;0;train
107990;2017-12-31;0;train
107990;2018-12-31;0;train
107990;2019-12-31;0;train
107990;2020-12-31;1;train
110065;2017-12-31;0;test
110065;2018-12-31;0;test
110065;2019-12-31;0;test
110065;2020-12-31;0;test
111346;2016-12-31;0;train
111346;2017-12-31;0;train
111346;2019-12-31;0;train
111346;2020-12-31;0;train
112130;2016-12-31;0;train
112130;2017-12-31;0;train
112130;2018-12-31;0;train
112130;2019-12-31;0;train
112130;2020-12-31;0;train
113536;2016-12-31;0;train
113536;2017-12-31;0;train
114518;2015-12-31;0;validation
114518;2016-12-31;0;validation
114518;2017-12-31;0;validation
114947;2015-12-31;0;test
114947;2016-12-31;0;test
114947;2017-12-31;0;test
